iso3,year,estabilidad_politica
USA,2026,0.45
GBR,2026,0.53
CAN,2026,0.93
DEU,2026,0.80
NLD,2026,0.90
JPN,2026,1.05
CHE,2026,1.38
CHN,2026,-0.43
BRA,2026,-0.25
MEX,2026,-0.79
USA,2025,0.43
GBR,2025,0.52
CAN,2025,0.92
DEU,2025,0.79
NLD,2025,0.89
JPN,2025,1.03
CHE,2025,1.36
CHN,2025,-0.44
BRA,2025,-0.26
MEX,2025,-0.80
USA,2024,0.42
GBR,2024,0.51
CAN,2024,0.91
DEU,2024,0.78
NLD,2024,0.88
JPN,2024,1.02
CHE,2024,1.35
CHN,2024,-0.45
BRA,2024,-0.28
MEX,2024,-0.82
USA,2023,0.38
GBR,2023,0.44
CAN,2023,0.89
DEU,2023,0.75
NLD,2023,0.85
JPN,2023,1.00
CHE,2023,1.32
CHN,2023,-0.47
BRA,2023,-0.30
MEX,2023,-0.80
USA,2022,0.36
GBR,2022,0.42
CAN,2022,0.87
DEU,2022,0.73
NLD,2022,0.83
JPN,2022,0.98
CHE,2022,1.30
CHN,2022,-0.49
BRA,2022,-0.32
MEX,2022,-0.78
USA,2021,0.34
GBR,2021,0.40
CAN,2021,0.85
DEU,2021,0.71
NLD,2021,0.81
JPN,2021,0.96
CHE,2021,1.28
CHN,2021,-0.51
BRA,2021,-0.34
MEX,2021,-0.76
USA,2020,0.30
GBR,2020,0.38
CAN,2020,0.83
DEU,2020,0.69
NLD,2020,0.79
JPN,2020,0.94
CHE,2020,1.26
CHN,2020,-0.53
BRA,2020,-0.36
MEX,2020,-0.74
