iso3,year,importacion_vino_usd,arancel_vino_pct,score_logistico
USA,2026,1290000000,5.0,60
GBR,2026,1530000000,3.5,64
CAN,2026,870000000,4.0,50
DEU,2026,1160000000,3.0,46
NLD,2026,820000000,2.5,42
JPN,2026,670000000,8.0,64
CHE,2026,445000000,2.0,48
CHN,2026,195000000,14.0,67
BRA,2026,138000000,20.0,74
MEX,2026,264000000,12.0,68
USA,2025,1245000000,5.0,59
GBR,2025,1490000000,3.5,63
CAN,2025,845000000,4.0,49
DEU,2025,1130000000,3.0,45
NLD,2025,800000000,2.5,41
JPN,2025,655000000,8.0,63
CHE,2025,432000000,2.0,47
CHN,2025,187000000,14.0,66
BRA,2025,134000000,20.0,73
MEX,2025,255000000,12.0,67
USA,2024,1200000000,5.0,58
GBR,2024,1450000000,3.5,62
CAN,2024,820000000,4.0,48
DEU,2024,1100000000,3.0,44
NLD,2024,780000000,2.5,40
JPN,2024,640000000,8.0,62
CHE,2024,420000000,2.0,46
CHN,2024,180000000,14.0,65
BRA,2024,130000000,20.0,72
MEX,2024,246000000,12.0,66
USA,2023,1150000000,5.0,57
GBR,2023,1380000000,3.5,61
CAN,2023,790000000,4.0,47
DEU,2023,1050000000,3.0,43
NLD,2023,740000000,2.5,39
JPN,2023,610000000,8.0,61
CHE,2023,400000000,2.0,45
CHN,2023,165000000,14.0,64
BRA,2023,120000000,20.0,71
MEX,2023,230000000,12.0,65
USA,2022,1100000000,5.0,56
GBR,2022,1310000000,3.5,60
CAN,2022,760000000,4.0,46
DEU,2022,1000000000,3.0,42
NLD,2022,700000000,2.5,38
JPN,2022,580000000,8.0,60
CHE,2022,380000000,2.0,44
CHN,2022,150000000,14.0,63
BRA,2022,110000000,20.0,70
MEX,2022,215000000,12.0,64
USA,2021,1050000000,5.0,55
GBR,2021,1240000000,3.5,59
CAN,2021,730000000,4.0,45
DEU,2021,950000000,3.0,41
NLD,2021,660000000,2.5,37
JPN,2021,550000000,8.0,59
CHE,2021,360000000,2.0,43
CHN,2021,135000000,15.0,62
BRA,2021,100000000,20.0,69
MEX,2021,200000000,13.0,63
USA,2020,980000000,5.0,54
GBR,2020,1150000000,3.5,58
CAN,2020,690000000,4.0,44
DEU,2020,890000000,3.0,40
NLD,2020,620000000,2.5,36
JPN,2020,510000000,8.0,58
CHE,2020,340000000,2.0,42
CHN,2020,120000000,15.0,61
BRA,2020,90000000,20.0,68
MEX,2020,185000000,13.0,62
