iso3,year,internal_code,value
USA,2025,pbi_per_capita_usd,87400
USA,2026,pbi_per_capita_usd,90200
USA,2025,inflacion_pct,2.60
USA,2026,inflacion_pct,2.30
USA,2025,crecimiento_pbi_pct,2.50
USA,2026,crecimiento_pbi_pct,2.30
USA,2025,importaciones_bienes_servicios_usd,4250000000000
USA,2026,importaciones_bienes_servicios_usd,4380000000000
USA,2025,apertura_comercial_pct_pbi,25.8
USA,2026,apertura_comercial_pct_pbi,26.1
USA,2025,poblacion_total,342000000
USA,2026,poblacion_total,343500000
GBR,2025,pbi_per_capita_usd,55100
GBR,2026,pbi_per_capita_usd,57200
GBR,2025,inflacion_pct,2.80
GBR,2026,inflacion_pct,2.50
GBR,2025,crecimiento_pbi_pct,1.30
GBR,2026,crecimiento_pbi_pct,1.50
GBR,2025,importaciones_bienes_servicios_usd,1210000000000
GBR,2026,importaciones_bienes_servicios_usd,1250000000000
GBR,2025,apertura_comercial_pct_pbi,64.0
GBR,2026,apertura_comercial_pct_pbi,65.2
GBR,2025,poblacion_total,69800000
GBR,2026,poblacion_total,70200000
CAN,2025,pbi_per_capita_usd,55500
CAN,2026,pbi_per_capita_usd,57000
CAN,2025,inflacion_pct,2.20
CAN,2026,inflacion_pct,2.00
CAN,2025,crecimiento_pbi_pct,1.80
CAN,2026,crecimiento_pbi_pct,2.00
CAN,2025,importaciones_bienes_servicios_usd,760000000000
CAN,2026,importaciones_bienes_servicios_usd,785000000000
CAN,2025,apertura_comercial_pct_pbi,66.5
CAN,2026,apertura_comercial_pct_pbi,67.8
CAN,2025,poblacion_total,41800000
CAN,2026,poblacion_total,42300000
DEU,2025,pbi_per_capita_usd,57200
DEU,2026,pbi_per_capita_usd,59100
DEU,2025,inflacion_pct,2.00
DEU,2026,inflacion_pct,1.90
DEU,2025,crecimiento_pbi_pct,0.80
DEU,2026,crecimiento_pbi_pct,1.30
DEU,2025,importaciones_bienes_servicios_usd,1800000000000
DEU,2026,importaciones_bienes_servicios_usd,1860000000000
DEU,2025,apertura_comercial_pct_pbi,80.5
DEU,2026,apertura_comercial_pct_pbi,81.0
DEU,2025,poblacion_total,83700000
DEU,2026,poblacion_total,83800000
NLD,2025,pbi_per_capita_usd,69500
NLD,2026,pbi_per_capita_usd,71800
NLD,2025,inflacion_pct,3.00
NLD,2026,inflacion_pct,2.70
NLD,2025,crecimiento_pbi_pct,1.50
NLD,2026,crecimiento_pbi_pct,1.70
NLD,2025,importaciones_bienes_servicios_usd,895000000000
NLD,2026,importaciones_bienes_servicios_usd,920000000000
NLD,2025,apertura_comercial_pct_pbi,156.0
NLD,2026,apertura_comercial_pct_pbi,158.0
NLD,2025,poblacion_total,18100000
NLD,2026,poblacion_total,18200000
JPN,2025,pbi_per_capita_usd,34100
JPN,2026,pbi_per_capita_usd,35600
JPN,2025,inflacion_pct,2.50
JPN,2026,inflacion_pct,2.20
JPN,2025,crecimiento_pbi_pct,0.80
JPN,2026,crecimiento_pbi_pct,1.10
JPN,2025,importaciones_bienes_servicios_usd,980000000000
JPN,2026,importaciones_bienes_servicios_usd,1010000000000
JPN,2025,apertura_comercial_pct_pbi,47.5
JPN,2026,apertura_comercial_pct_pbi,48.0
JPN,2025,poblacion_total,123400000
JPN,2026,poblacion_total,122900000
CHE,2025,pbi_per_capita_usd,107000
CHE,2026,pbi_per_capita_usd,110500
CHE,2025,inflacion_pct,1.00
CHE,2026,inflacion_pct,0.90
CHE,2025,crecimiento_pbi_pct,1.50
CHE,2026,crecimiento_pbi_pct,1.70
CHE,2025,importaciones_bienes_servicios_usd,600000000000
CHE,2026,importaciones_bienes_servicios_usd,620000000000
CHE,2025,apertura_comercial_pct_pbi,136.0
CHE,2026,apertura_comercial_pct_pbi,138.0
CHE,2025,poblacion_total,9100000
CHE,2026,poblacion_total,9200000
CHN,2025,pbi_per_capita_usd,14000
CHN,2026,pbi_per_capita_usd,14800
CHN,2025,inflacion_pct,0.50
CHN,2026,inflacion_pct,0.80
CHN,2025,crecimiento_pbi_pct,4.80
CHN,2026,crecimiento_pbi_pct,4.50
CHN,2025,importaciones_bienes_servicios_usd,3350000000000
CHN,2026,importaciones_bienes_servicios_usd,3480000000000
CHN,2025,apertura_comercial_pct_pbi,37.8
CHN,2026,apertura_comercial_pct_pbi,37.5
CHN,2025,poblacion_total,1405000000
CHN,2026,poblacion_total,1402000000
BRA,2025,pbi_per_capita_usd,10800
BRA,2026,pbi_per_capita_usd,11300
BRA,2025,inflacion_pct,4.80
BRA,2026,inflacion_pct,4.50
BRA,2025,crecimiento_pbi_pct,2.80
BRA,2026,crecimiento_pbi_pct,2.50
BRA,2025,importaciones_bienes_servicios_usd,398000000000
BRA,2026,importaciones_bienes_servicios_usd,410000000000
BRA,2025,apertura_comercial_pct_pbi,36.5
BRA,2026,apertura_comercial_pct_pbi,37.0
BRA,2025,poblacion_total,213500000
BRA,2026,poblacion_total,214800000
MEX,2025,pbi_per_capita_usd,14600
MEX,2026,pbi_per_capita_usd,15100
MEX,2025,inflacion_pct,4.20
MEX,2026,inflacion_pct,3.80
MEX,2025,crecimiento_pbi_pct,1.80
MEX,2026,crecimiento_pbi_pct,2.20
MEX,2025,importaciones_bienes_servicios_usd,725000000000
MEX,2026,importaciones_bienes_servicios_usd,750000000000
MEX,2025,apertura_comercial_pct_pbi,75.5
MEX,2026,apertura_comercial_pct_pbi,76.0
MEX,2025,poblacion_total,132000000
MEX,2026,poblacion_total,133100000
